merchant,description,mcc,transaction_type,label,source
Домовой Pay,Synthetic no mcc operation домовой,0,expense,7,seed_no_mcc_v1
Домовой Pay,Synthetic домовой purchase,5719,expense,7,seed_keywords_v1
Домовой Store,Synthetic online payment домовой,5714,expense,7,seed_keywords_v1
Икеа City,Synthetic card operation икеа,5712,expense,7,seed_keywords_v1
Икеа Express,Synthetic no mcc operation икеа,0,expense,7,seed_no_mcc_v1
Икеа Express,Synthetic икеа purchase,5712,expense,7,seed_keywords_v1
Икеа Online,Synthetic икеа receipt,5719,expense,7,seed_keywords_v1
Икеа Pay,Synthetic online payment икеа,5200,expense,7,seed_keywords_v1
Икеа Store,Synthetic payment at икеа,5714,expense,7,seed_keywords_v1
Посуда City,Synthetic card operation посуда,5200,expense,7,seed_keywords_v1
Посуда Express,Synthetic no mcc operation посуда,0,expense,7,seed_no_mcc_v1
Посуда Express,Synthetic посуда purchase,5200,expense,7,seed_keywords_v1
Посуда Online,Synthetic посуда receipt,5714,expense,7,seed_keywords_v1
Посуда Pay,Synthetic online payment посуда,5719,expense,7,seed_keywords_v1
Посуда Store,Synthetic payment at посуда,5712,expense,7,seed_keywords_v1
Товары Для Дома City,Synthetic no mcc operation товары для дома,0,expense,7,seed_no_mcc_v1
Товары Для Дома City,Synthetic товары для дома purchase,5712,expense,7,seed_keywords_v1
Товары Для Дома Express,Synthetic payment at товары для дома,5714,expense,7,seed_keywords_v1
Товары Для Дома Online,Synthetic online payment товары для дома,5200,expense,7,seed_keywords_v1
Товары Для Дома Pay,Synthetic card operation товары для дома,5712,expense,7,seed_keywords_v1
Товары Для Дома Store,Synthetic товары для дома receipt,5719,expense,7,seed_keywords_v1
Фикс Прайс City,Synthetic фикс прайс receipt,5719,expense,7,seed_keywords_v1
Фикс Прайс Express,Synthetic online payment фикс прайс,5200,expense,7,seed_keywords_v1
Фикс Прайс Online,Synthetic no mcc operation фикс прайс,0,expense,7,seed_no_mcc_v1
Фикс Прайс Online,Synthetic фикс прайс purchase,5712,expense,7,seed_keywords_v1
Фикс Прайс Pay,Synthetic payment at фикс прайс,5714,expense,7,seed_keywords_v1
Фикс Прайс Store,Synthetic card operation фикс прайс,5712,expense,7,seed_keywords_v1
Barbershop City,Synthetic payment at barbershop,7230,expense,8,seed_keywords_v1
Barbershop Express,Synthetic barbershop receipt,7298,expense,8,seed_keywords_v1
Barbershop Online,Synthetic card operation barbershop,7230,expense,8,seed_keywords_v1
Barbershop Pay,Synthetic no mcc operation barbershop,0,expense,8,seed_no_mcc_v1
Barbershop Pay,Synthetic barbershop purchase,5977,expense,8,seed_keywords_v1
Barbershop Store,Synthetic online payment barbershop,5977,expense,8,seed_keywords_v1
Gold Apple City,Synthetic online payment gold apple,7298,expense,8,seed_keywords_v1
Gold Apple Express,Synthetic card operation gold apple,5977,expense,8,seed_keywords_v1
Gold Apple Online,Synthetic payment at gold apple,5977,expense,8,seed_keywords_v1
Gold Apple Pay,Synthetic gold apple receipt,7230,expense,8,seed_keywords_v1
Gold Apple Store,Synthetic no mcc operation gold apple,0,expense,8,seed_no_mcc_v1
Gold Apple Store,Synthetic gold apple purchase,7298,expense,8,seed_keywords_v1
Ile De Beaute City,Synthetic payment at ile de beaute,7298,expense,8,seed_keywords_v1
Ile De Beaute Express,Synthetic ile de beaute receipt,5977,expense,8,seed_keywords_v1
Ile De Beaute Online,Synthetic card operation ile de beaute,7298,expense,8,seed_keywords_v1
Ile De Beaute Pay,Synthetic no mcc operation ile de beaute,0,expense,8,seed_no_mcc_v1
Ile De Beaute Pay,Synthetic ile de beaute purchase,7230,expense,8,seed_keywords_v1
Ile De Beaute Store,Synthetic online payment ile de beaute,7230,expense,8,seed_keywords_v1
Kosmetika City,Synthetic card operation kosmetika,7230,expense,8,seed_keywords_v1
Kosmetika Express,Synthetic no mcc operation kosmetika,0,expense,8,seed_no_mcc_v1
Kosmetika Express,Synthetic kosmetika purchase,5977,expense,8,seed_keywords_v1
Kosmetika Online,Synthetic kosmetika receipt,7298,expense,8,seed_keywords_v1
Kosmetika Pay,Synthetic online payment kosmetika,5977,expense,8,seed_keywords_v1
Kosmetika Store,Synthetic payment at kosmetika,7230,expense,8,seed_keywords_v1
Letu City,Synthetic online payment letu,5977,expense,8,seed_keywords_v1
Letu Express,Synthetic card operation letu,7230,expense,8,seed_keywords_v1
Letu Online,Synthetic payment at letu,7230,expense,8,seed_keywords_v1
Letu Pay,Synthetic letu receipt,7298,expense,8,seed_keywords_v1
Letu Store,Synthetic no mcc operation letu,0,expense,8,seed_no_mcc_v1
Letu Store,Synthetic letu purchase,5977,expense,8,seed_keywords_v1
Manicure City,Synthetic card operation manicure,5977,expense,8,seed_keywords_v1
Manicure Express,Synthetic no mcc operation manicure,0,expense,8,seed_no_mcc_v1
Manicure Express,Synthetic manicure purchase,7298,expense,8,seed_keywords_v1
Manicure Online,Synthetic manicure receipt,7230,expense,8,seed_keywords_v1
Manicure Pay,Synthetic online payment manicure,7298,expense,8,seed_keywords_v1
Manicure Store,Synthetic payment at manicure,5977,expense,8,seed_keywords_v1
Rive Gauche City,Synthetic payment at rive gauche,5977,expense,8,seed_keywords_v1
Rive Gauche Express,Synthetic rive gauche receipt,7230,expense,8,seed_keywords_v1
Rive Gauche Online,Synthetic card operation rive gauche,5977,expense,8,seed_keywords_v1
Rive Gauche Pay,Synthetic no mcc operation rive gauche,0,expense,8,seed_no_mcc_v1
Rive Gauche Pay,Synthetic rive gauche purchase,7298,expense,8,seed_keywords_v1
Rive Gauche Store,Synthetic online payment rive gauche,7298,expense,8,seed_keywords_v1
Salon City,Synthetic salon receipt,7230,expense,8,seed_keywords_v1
Salon Express,Synthetic online payment salon,7298,expense,8,seed_keywords_v1
Salon Online,Synthetic no mcc operation salon,0,expense,8,seed_no_mcc_v1
Salon Online,Synthetic salon purchase,7298,expense,8,seed_keywords_v1
Salon Pay,Synthetic payment at salon,5977,expense,8,seed_keywords_v1
Salon Store,Synthetic card operation salon,5977,expense,8,seed_keywords_v1
Sephora City,Synthetic sephora receipt,7298,expense,8,seed_keywords_v1
Sephora Express,Synthetic online payment sephora,5977,expense,8,seed_keywords_v1
Sephora Online,Synthetic no mcc operation sephora,0,expense,8,seed_no_mcc_v1
Sephora Online,Synthetic sephora purchase,5977,expense,8,seed_keywords_v1
Sephora Pay,Synthetic payment at sephora,7230,expense,8,seed_keywords_v1
Sephora Store,Synthetic card operation sephora,7230,expense,8,seed_keywords_v1
Золотое Яблоко City,Synthetic card operation золотое яблоко,7298,expense,8,seed_keywords_v1
Золотое Яблоко Express,Synthetic no mcc operation золотое яблоко,0,expense,8,seed_no_mcc_v1
Золотое Яблоко Express,Synthetic золотое яблоко purchase,7230,expense,8,seed_keywords_v1
Золотое Яблоко Online,Synthetic золотое яблоко receipt,5977,expense,8,seed_keywords_v1
Золотое Яблоко Pay,Synthetic online payment золотое яблоко,7230,expense,8,seed_keywords_v1
Золотое Яблоко Store,Synthetic payment at золотое яблоко,7298,expense,8,seed_keywords_v1
Косметика City,Synthetic no mcc operation косметика,0,expense,8,seed_no_mcc_v1
Косметика City,Synthetic косметика purchase,7298,expense,8,seed_keywords_v1
Косметика Express,Synthetic payment at косметика,5977,expense,8,seed_keywords_v1
Косметика Online,Synthetic online payment косметика,7298,expense,8,seed_keywords_v1
Косметика Pay,Synthetic card operation косметика,5977,expense,8,seed_keywords_v1
Косметика Store,Synthetic косметика receipt,7230,expense,8,seed_keywords_v1
Летуаль City,Synthetic летуаль receipt,5977,expense,8,seed_keywords_v1
Летуаль Express,Synthetic online payment летуаль,7230,expense,8,seed_keywords_v1
Летуаль Online,Synthetic no mcc operation летуаль,0,expense,8,seed_no_mcc_v1
Летуаль Online,Synthetic летуаль purchase,7230,expense,8,seed_keywords_v1
Летуаль Pay,Synthetic payment at летуаль,7298,expense,8,seed_keywords_v1
Летуаль Store,Synthetic card operation летуаль,7298,expense,8,seed_keywords_v1
Маникюр City,Synthetic no mcc operation маникюр,0,expense,8,seed_no_mcc_v1
Маникюр City,Synthetic маникюр purchase,7230,expense,8,seed_keywords_v1
Маникюр Express,Synthetic payment at маникюр,7298,expense,8,seed_keywords_v1
Маникюр Online,Synthetic online payment маникюр,7230,expense,8,seed_keywords_v1
Маникюр Pay,Synthetic card operation маникюр,7298,expense,8,seed_keywords_v1
Маникюр Store,Synthetic маникюр receipt,5977,expense,8,seed_keywords_v1
Рив Гош City,Synthetic no mcc operation рив гош,0,expense,8,seed_no_mcc_v1
Рив Гош City,Synthetic рив гош purchase,5977,expense,8,seed_keywords_v1
Рив Гош Express,Synthetic payment at рив гош,7230,expense,8,seed_keywords_v1
Рив Гош Online,Synthetic online payment рив гош,5977,expense,8,seed_keywords_v1
Рив Гош Pay,Synthetic card operation рив гош,7230,expense,8,seed_keywords_v1
Рив Гош Store,Synthetic рив гош receipt,7298,expense,8,seed_keywords_v1
Салон City,Synthetic online payment салон,7230,expense,8,seed_keywords_v1
Салон Express,Synthetic card operation салон,7298,expense,8,seed_keywords_v1
Салон Online,Synthetic payment at салон,7298,expense,8,seed_keywords_v1
Салон Pay,Synthetic салон receipt,5977,expense,8,seed_keywords_v1
Салон Store,Synthetic no mcc operation салон,0,expense,8,seed_no_mcc_v1
Салон Store,Synthetic салон purchase,7230,expense,8,seed_keywords_v1
4 Лапы City,Synthetic online payment 4 лапы,5995,expense,9,seed_keywords_v1
4 Лапы Express,Synthetic card operation 4 лапы,742,expense,9,seed_keywords_v1
4 Лапы Online,Synthetic payment at 4 лапы,5995,expense,9,seed_keywords_v1
4 Лапы Pay,Synthetic 4 лапы receipt,742,expense,9,seed_keywords_v1
4 Лапы Store,Synthetic no mcc operation 4 лапы,0,expense,9,seed_no_mcc_v1
4 Лапы Store,Synthetic 4 лапы purchase,742,expense,9,seed_keywords_v1
4Lapy City,Synthetic 4lapy receipt,5995,expense,9,seed_keywords_v1
4Lapy Express,Synthetic online payment 4lapy,742,expense,9,seed_keywords_v1
4Lapy Online,Synthetic no mcc operation 4lapy,0,expense,9,seed_no_mcc_v1
4Lapy Online,Synthetic 4lapy purchase,5995,expense,9,seed_keywords_v1
4Lapy Pay,Synthetic payment at 4lapy,742,expense,9,seed_keywords_v1
4Lapy Store,Synthetic card operation 4lapy,5995,expense,9,seed_keywords_v1
Bethoven City,Synthetic payment at bethoven,5995,expense,9,seed_keywords_v1
Bethoven Express,Synthetic bethoven receipt,742,expense,9,seed_keywords_v1
Bethoven Online,Synthetic card operation bethoven,742,expense,9,seed_keywords_v1
Bethoven Pay,Synthetic no mcc operation bethoven,0,expense,9,seed_no_mcc_v1
Bethoven Pay,Synthetic bethoven purchase,742,expense,9,seed_keywords_v1
Bethoven Store,Synthetic online payment bethoven,5995,expense,9,seed_keywords_v1
Le Murr City,Synthetic payment at le murr,742,expense,9,seed_keywords_v1
Le Murr Express,Synthetic le murr receipt,5995,expense,9,seed_keywords_v1
Le Murr Online,Synthetic card operation le murr,5995,expense,9,seed_keywords_v1
Le Murr Pay,Synthetic no mcc operation le murr,0,expense,9,seed_no_mcc_v1
Le Murr Pay,Synthetic le murr purchase,5995,expense,9,seed_keywords_v1
Le Murr Store,Synthetic online payment le murr,742,expense,9,seed_keywords_v1
Petshop City,Synthetic card operation petshop,742,expense,9,seed_keywords_v1
Petshop Express,Synthetic no mcc operation petshop,0,expense,9,seed_no_mcc_v1
Petshop Express,Synthetic petshop purchase,742,expense,9,seed_keywords_v1
Petshop Online,Synthetic petshop receipt,742,expense,9,seed_keywords_v1
Petshop Pay,Synthetic online payment petshop,5995,expense,9,seed_keywords_v1
Petshop Store,Synthetic payment at petshop,5995,expense,9,seed_keywords_v1
Zoo City,Synthetic zoo receipt,742,expense,9,seed_keywords_v1
Zoo Express,Synthetic online payment zoo,5995,expense,9,seed_keywords_v1
Zoo Online,Synthetic no mcc operation zoo,0,expense,9,seed_no_mcc_v1
Zoo Online,Synthetic zoo purchase,742,expense,9,seed_keywords_v1
Zoo Pay,Synthetic payment at zoo,5995,expense,9,seed_keywords_v1
Zoo Store,Synthetic card operation zoo,742,expense,9,seed_keywords_v1
Бетховен City,Synthetic no mcc operation бетховен,0,expense,9,seed_no_mcc_v1
Бетховен City,Synthetic бетховен purchase,5995,expense,9,seed_keywords_v1
Бетховен Express,Synthetic payment at бетховен,742,expense,9,seed_keywords_v1
Бетховен Online,Synthetic online payment бетховен,742,expense,9,seed_keywords_v1
Бетховен Pay,Synthetic card operation бетховен,5995,expense,9,seed_keywords_v1
Бетховен Store,Synthetic бетховен receipt,5995,expense,9,seed_keywords_v1
Ветклиника City,Synthetic ветклиника receipt,5995,expense,9,seed_keywords_v1
Ветклиника Express,Synthetic online payment ветклиника,742,expense,9,seed_keywords_v1
Ветклиника Online,Synthetic no mcc operation ветклиника,0,expense,9,seed_no_mcc_v1
Ветклиника Online,Synthetic ветклиника purchase,5995,expense,9,seed_keywords_v1
Ветклиника Pay,Synthetic payment at ветклиника,742,expense,9,seed_keywords_v1
Ветклиника Store,Synthetic card operation ветклиника,5995,expense,9,seed_keywords_v1
Заповедник City,Synthetic card operation заповедник,5995,expense,9,seed_keywords_v1
Заповедник Express,Synthetic no mcc operation заповедник,0,expense,9,seed_no_mcc_v1
Заповедник Express,Synthetic заповедник purchase,5995,expense,9,seed_keywords_v1
Заповедник Online,Synthetic заповедник receipt,5995,expense,9,seed_keywords_v1
Заповедник Pay,Synthetic online payment заповедник,742,expense,9,seed_keywords_v1
Заповедник Store,Synthetic payment at заповедник,742,expense,9,seed_keywords_v1
Зоомагазин City,Synthetic online payment зоомагазин,742,expense,9,seed_keywords_v1
Зоомагазин Express,Synthetic card operation зоомагазин,5995,expense,9,seed_keywords_v1
Зоомагазин Online,Synthetic payment at зоомагазин,742,expense,9,seed_keywords_v1
Зоомагазин Pay,Synthetic зоомагазин receipt,5995,expense,9,seed_keywords_v1
Зоомагазин Store,Synthetic no mcc operation зоомагазин,0,expense,9,seed_no_mcc_v1
Зоомагазин Store,Synthetic зоомагазин purchase,5995,expense,9,seed_keywords_v1
Корм City,Synthetic online payment корм,5995,expense,9,seed_keywords_v1
Корм Express,Synthetic card operation корм,742,expense,9,seed_keywords_v1
Корм Online,Synthetic payment at корм,5995,expense,9,seed_keywords_v1
Корм Pay,Synthetic корм receipt,742,expense,9,seed_keywords_v1
Корм Store,Synthetic no mcc operation корм,0,expense,9,seed_no_mcc_v1
Корм Store,Synthetic корм purchase,742,expense,9,seed_keywords_v1
Лемурр City,Synthetic no mcc operation лемурр,0,expense,9,seed_no_mcc_v1
Лемурр City,Synthetic лемурр purchase,742,expense,9,seed_keywords_v1
Лемурр Express,Synthetic payment at лемурр,5995,expense,9,seed_keywords_v1
Лемурр Online,Synthetic online payment лемурр,5995,expense,9,seed_keywords_v1
Лемурр Pay,Synthetic card operation лемурр,742,expense,9,seed_keywords_v1
Лемурр Store,Synthetic лемурр receipt,742,expense,9,seed_keywords_v1
Books City,Synthetic books receipt,5942,expense,10,seed_keywords_v1
Books Express,Synthetic online payment books,5943,expense,10,seed_keywords_v1
Books Online,Synthetic no mcc operation books,0,expense,10,seed_no_mcc_v1
Books Online,Synthetic books purchase,5943,expense,10,seed_keywords_v1
Books Pay,Synthetic payment at books,5192,expense,10,seed_keywords_v1
Books Store,Synthetic card operation books,5192,expense,10,seed_keywords_v1
Bookvoed City,Synthetic card operation bookvoed,5943,expense,10,seed_keywords_v1
Bookvoed Express,Synthetic no mcc operation bookvoed,0,expense,10,seed_no_mcc_v1
Bookvoed Express,Synthetic bookvoed purchase,5942,expense,10,seed_keywords_v1
Bookvoed Online,Synthetic bookvoed receipt,5192,expense,10,seed_keywords_v1
Bookvoed Pay,Synthetic online payment bookvoed,5942,expense,10,seed_keywords_v1
Bookvoed Store,Synthetic payment at bookvoed,5943,expense,10,seed_keywords_v1
Chitai Gorod City,Synthetic chitai gorod receipt,5192,expense,10,seed_keywords_v1
Chitai Gorod Express,Synthetic online payment chitai gorod,5942,expense,10,seed_keywords_v1
Chitai Gorod Online,Synthetic no mcc operation chitai gorod,0,expense,10,seed_no_mcc_v1
Chitai Gorod Online,Synthetic chitai gorod purchase,5942,expense,10,seed_keywords_v1
Chitai Gorod Pay,Synthetic payment at chitai gorod,5943,expense,10,seed_keywords_v1
Chitai Gorod Store,Synthetic card operation chitai gorod,5943,expense,10,seed_keywords_v1
Labirint City,Synthetic payment at labirint,5192,expense,10,seed_keywords_v1
Labirint Express,Synthetic labirint receipt,5942,expense,10,seed_keywords_v1
Labirint Online,Synthetic card operation labirint,5192,expense,10,seed_keywords_v1
Labirint Pay,Synthetic no mcc operation labirint,0,expense,10,seed_no_mcc_v1
Labirint Pay,Synthetic labirint purchase,5943,expense,10,seed_keywords_v1
Labirint Store,Synthetic online payment labirint,5943,expense,10,seed_keywords_v1
Litres City,Synthetic litres receipt,5943,expense,10,seed_keywords_v1
Litres Express,Synthetic online payment litres,5192,expense,10,seed_keywords_v1
Litres Online,Synthetic no mcc operation litres,0,expense,10,seed_no_mcc_v1
Litres Online,Synthetic litres purchase,5192,expense,10,seed_keywords_v1
Litres Pay,Synthetic payment at litres,5942,expense,10,seed_keywords_v1
Litres Store,Synthetic card operation litres,5942,expense,10,seed_keywords_v1
Respublica City,Synthetic no mcc operation respublica,0,expense,10,seed_no_mcc_v1
Respublica City,Synthetic respublica purchase,5943,expense,10,seed_keywords_v1
Respublica Express,Synthetic payment at respublica,5192,expense,10,seed_keywords_v1
Respublica Online,Synthetic online payment respublica,5943,expense,10,seed_keywords_v1
Respublica Pay,Synthetic card operation respublica,5192,expense,10,seed_keywords_v1
Respublica Store,Synthetic respublica receipt,5942,expense,10,seed_keywords_v1
Stationery City,Synthetic no mcc operation stationery,0,expense,10,seed_no_mcc_v1
Stationery City,Synthetic stationery purchase,5942,expense,10,seed_keywords_v1
Stationery Express,Synthetic payment at stationery,5943,expense,10,seed_keywords_v1
Stationery Online,Synthetic online payment stationery,5942,expense,10,seed_keywords_v1
Stationery Pay,Synthetic card operation stationery,5943,expense,10,seed_keywords_v1
Stationery Store,Synthetic stationery receipt,5192,expense,10,seed_keywords_v1
Буквоед City,Synthetic online payment буквоед,5943,expense,10,seed_keywords_v1
Буквоед Express,Synthetic card operation буквоед,5192,expense,10,seed_keywords_v1
Буквоед Online,Synthetic payment at буквоед,5192,expense,10,seed_keywords_v1
Буквоед Pay,Synthetic буквоед receipt,5942,expense,10,seed_keywords_v1
Буквоед Store,Synthetic no mcc operation буквоед,0,expense,10,seed_no_mcc_v1
Буквоед Store,Synthetic буквоед purchase,5943,expense,10,seed_keywords_v1
Канцтовары City,Synthetic payment at канцтовары,5942,expense,10,seed_keywords_v1
Канцтовары Express,Synthetic канцтовары receipt,5943,expense,10,seed_keywords_v1
Канцтовары Online,Synthetic card operation канцтовары,5942,expense,10,seed_keywords_v1
Канцтовары Pay,Synthetic no mcc operation канцтовары,0,expense,10,seed_no_mcc_v1
Канцтовары Pay,Synthetic канцтовары purchase,5192,expense,10,seed_keywords_v1
Канцтовары Store,Synthetic online payment канцтовары,5192,expense,10,seed_keywords_v1
Книга City,Synthetic online payment книга,5942,expense,10,seed_keywords_v1
Книга Express,Synthetic card operation книга,5943,expense,10,seed_keywords_v1
Книга Online,Synthetic payment at книга,5943,expense,10,seed_keywords_v1
Книга Pay,Synthetic книга receipt,5192,expense,10,seed_keywords_v1
Книга Store,Synthetic no mcc operation книга,0,expense,10,seed_no_mcc_v1
Книга Store,Synthetic книга purchase,5942,expense,10,seed_keywords_v1
Лабиринт City,Synthetic no mcc operation лабиринт,0,expense,10,seed_no_mcc_v1
Лабиринт City,Synthetic лабиринт purchase,5192,expense,10,seed_keywords_v1
Лабиринт Express,Synthetic payment at лабиринт,5942,expense,10,seed_keywords_v1
Лабиринт Online,Synthetic online payment лабиринт,5192,expense,10,seed_keywords_v1
Лабиринт Pay,Synthetic card operation лабиринт,5942,expense,10,seed_keywords_v1
Лабиринт Store,Synthetic лабиринт receipt,5943,expense,10,seed_keywords_v1
Литрес City,Synthetic payment at литрес,5943,expense,10,seed_keywords_v1
Литрес Express,Synthetic литрес receipt,5192,expense,10,seed_keywords_v1
Литрес Online,Synthetic card operation литрес,5943,expense,10,seed_keywords_v1
Литрес Pay,Synthetic no mcc operation литрес,0,expense,10,seed_no_mcc_v1
Литрес Pay,Synthetic литрес purchase,5942,expense,10,seed_keywords_v1
Литрес Store,Synthetic online payment литрес,5942,expense,10,seed_keywords_v1
Республика City,Synthetic card operation республика,5942,expense,10,seed_keywords_v1
Республика Express,Synthetic no mcc operation республика,0,expense,10,seed_no_mcc_v1
Республика Express,Synthetic республика purchase,5192,expense,10,seed_keywords_v1
Республика Online,Synthetic республика receipt,5943,expense,10,seed_keywords_v1
Республика Pay,Synthetic online payment республика,5192,expense,10,seed_keywords_v1
Республика Store,Synthetic payment at республика,5942,expense,10,seed_keywords_v1
Читай Город City,Synthetic online payment читай город,5192,expense,10,seed_keywords_v1
Читай Город Express,Synthetic card operation читай город,5942,expense,10,seed_keywords_v1
Читай Город Online,Synthetic payment at читай город,5942,expense,10,seed_keywords_v1
Читай Город Pay,Synthetic читай город receipt,5943,expense,10,seed_keywords_v1
Читай Город Store,Synthetic no mcc operation читай город,0,expense,10,seed_no_mcc_v1
Читай Город Store,Synthetic читай город purchase,5192,expense,10,seed_keywords_v1
36 6 City,Synthetic card operation 36 6,5122,expense,11,seed_keywords_v1
36 6 Express,Synthetic no mcc operation 36 6,0,expense,11,seed_no_mcc_v1
36 6 Express,Synthetic 36 6 purchase,5122,expense,11,seed_keywords_v1
36 6 Online,Synthetic 36 6 receipt,5122,expense,11,seed_keywords_v1
36 6 Pay,Synthetic online payment 36 6,5912,expense,11,seed_keywords_v1
36 6 Store,Synthetic payment at 36 6,5912,expense,11,seed_keywords_v1
Apteka City,Synthetic apteka receipt,5912,expense,11,seed_keywords_v1
Apteka Express,Synthetic online payment apteka,5122,expense,11,seed_keywords_v1
Apteka Online,Synthetic no mcc operation apteka,0,expense,11,seed_no_mcc_v1
Apteka Online,Synthetic apteka purchase,5912,expense,11,seed_keywords_v1
Apteka Pay,Synthetic payment at apteka,5122,expense,11,seed_keywords_v1
Apteka Store,Synthetic card operation apteka,5912,expense,11,seed_keywords_v1
Eapteka City,Synthetic card operation eapteka,5912,expense,11,seed_keywords_v1
Eapteka Express,Synthetic no mcc operation eapteka,0,expense,11,seed_no_mcc_v1
Eapteka Express,Synthetic eapteka purchase,5912,expense,11,seed_keywords_v1
Eapteka Online,Synthetic eapteka receipt,5912,expense,11,seed_keywords_v1
Eapteka Pay,Synthetic online payment eapteka,5122,expense,11,seed_keywords_v1
Eapteka Store,Synthetic payment at eapteka,5122,expense,11,seed_keywords_v1
Gorzdrav City,Synthetic gorzdrav receipt,5122,expense,11,seed_keywords_v1
Gorzdrav Express,Synthetic online payment gorzdrav,5912,expense,11,seed_keywords_v1
Gorzdrav Online,Synthetic no mcc operation gorzdrav,0,expense,11,seed_no_mcc_v1
Gorzdrav Online,Synthetic gorzdrav purchase,5122,expense,11,seed_keywords_v1
Gorzdrav Pay,Synthetic payment at gorzdrav,5912,expense,11,seed_keywords_v1
Gorzdrav Store,Synthetic card operation gorzdrav,5122,expense,11,seed_keywords_v1
Pharmacy City,Synthetic payment at pharmacy,5912,expense,11,seed_keywords_v1
Pharmacy Express,Synthetic pharmacy receipt,5122,expense,11,seed_keywords_v1
Pharmacy Online,Synthetic card operation pharmacy,5122,expense,11,seed_keywords_v1
Pharmacy Pay,Synthetic no mcc operation pharmacy,0,expense,11,seed_no_mcc_v1
Pharmacy Pay,Synthetic pharmacy purchase,5122,expense,11,seed_keywords_v1
Pharmacy Store,Synthetic online payment pharmacy,5912,expense,11,seed_keywords_v1
Planetazdorovo City,Synthetic no mcc operation planetazdorovo,0,expense,11,seed_no_mcc_v1
Planetazdorovo City,Synthetic planetazdorovo purchase,5122,expense,11,seed_keywords_v1
Planetazdorovo Express,Synthetic payment at planetazdorovo,5912,expense,11,seed_keywords_v1
Planetazdorovo Online,Synthetic online payment planetazdorovo,5912,expense,11,seed_keywords_v1
Planetazdorovo Pay,Synthetic card operation planetazdorovo,5122,expense,11,seed_keywords_v1
Planetazdorovo Store,Synthetic planetazdorovo receipt,5122,expense,11,seed_keywords_v1
Rigla City,Synthetic payment at rigla,5912,expense,11,seed_keywords_v1
Rigla Express,Synthetic rigla receipt,5122,expense,11,seed_keywords_v1
Rigla Online,Synthetic card operation rigla,5122,expense,11,seed_keywords_v1
Rigla Pay,Synthetic no mcc operation rigla,0,expense,11,seed_no_mcc_v1
Rigla Pay,Synthetic rigla purchase,5122,expense,11,seed_keywords_v1
Rigla Store,Synthetic online payment rigla,5912,expense,11,seed_keywords_v1
Vita City,Synthetic vita receipt,5912,expense,11,seed_keywords_v1
Vita Express,Synthetic online payment vita,5122,expense,11,seed_keywords_v1
Vita Online,Synthetic no mcc operation vita,0,expense,11,seed_no_mcc_v1
Vita Online,Synthetic vita purchase,5912,expense,11,seed_keywords_v1
Vita Pay,Synthetic payment at vita,5122,expense,11,seed_keywords_v1
Vita Store,Synthetic card operation vita,5912,expense,11,seed_keywords_v1
Аптека City,Synthetic online payment аптека,5912,expense,11,seed_keywords_v1
Аптека Express,Synthetic card operation аптека,5122,expense,11,seed_keywords_v1
Аптека Online,Synthetic payment at аптека,5912,expense,11,seed_keywords_v1
Аптека Pay,Synthetic аптека receipt,5122,expense,11,seed_keywords_v1
Аптека Store,Synthetic no mcc operation аптека,0,expense,11,seed_no_mcc_v1
Аптека Store,Synthetic аптека purchase,5122,expense,11,seed_keywords_v1
Горздрав City,Synthetic online payment горздрав,5122,expense,11,seed_keywords_v1
Горздрав Express,Synthetic card operation горздрав,5912,expense,11,seed_keywords_v1
Горздрав Online,Synthetic payment at горздрав,5122,expense,11,seed_keywords_v1
Горздрав Pay,Synthetic горздрав receipt,5912,expense,11,seed_keywords_v1
Горздрав Store,Synthetic no mcc operation горздрав,0,expense,11,seed_no_mcc_v1
Горздрав Store,Synthetic горздрав purchase,5912,expense,11,seed_keywords_v1
Планета Здоровья City,Synthetic payment at планета здоровья,5122,expense,11,seed_keywords_v1
Планета Здоровья Express,Synthetic планета здоровья receipt,5912,expense,11,seed_keywords_v1
Планета Здоровья Online,Synthetic card operation планета здоровья,5912,expense,11,seed_keywords_v1
Планета Здоровья Pay,Synthetic no mcc operation планета здоровья,0,expense,11,seed_no_mcc_v1
Планета Здоровья Pay,Synthetic планета здоровья purchase,5912,expense,11,seed_keywords_v1
Планета Здоровья Store,Synthetic online payment планета здоровья,5122,expense,11,seed_keywords_v1
Ригла City,Synthetic no mcc operation ригла,0,expense,11,seed_no_mcc_v1
Ригла City,Synthetic ригла purchase,5912,expense,11,seed_keywords_v1
Ригла Express,Synthetic payment at ригла,5122,expense,11,seed_keywords_v1
Ригла Online,Synthetic online payment ригла,5122,expense,11,seed_keywords_v1
Ригла Pay,Synthetic card operation ригла,5912,expense,11,seed_keywords_v1
Ригла Store,Synthetic ригла receipt,5912,expense,11,seed_keywords_v1
Столички City,Synthetic online payment столички,5912,expense,11,seed_keywords_v1
Столички Express,Synthetic card operation столички,5122,expense,11,seed_keywords_v1
Столички Online,Synthetic payment at столички,5912,expense,11,seed_keywords_v1
Столички Pay,Synthetic столички receipt,5122,expense,11,seed_keywords_v1
Столички Store,Synthetic no mcc operation столички,0,expense,11,seed_no_mcc_v1
Столички Store,Synthetic столички purchase,5122,expense,11,seed_keywords_v1
Clinic City,Synthetic no mcc operation clinic,0,expense,12,seed_no_mcc_v1
Clinic City,Synthetic clinic purchase,8099,expense,12,seed_keywords_v1
Clinic Express,Synthetic payment at clinic,8011,expense,12,seed_keywords_v1
